iter,v_fun_0,delta_q,norm_delta_q,acc_reward
670000,2.924324076280944,-0.004437840830857786,2.9986849300589555,-374236
680000,2.921705870979028,0.028730478908844875,2.920088656694958,-380790
690000,2.923766878896008,0.009489026439726253,2.9738034554596977,-386692
700000,2.924456240457389,0.0017823465713170349,2.921314258141236,-392772
710000,2.924385132701625,0.02173673948691729,2.8284634063278125,-398245
720000,2.923651455276018,0.0017253038962679514,2.800554313057962,-403844
730000,2.9259194352525015,4.869000138090392e-05,2.800016058872314,-409316
740000,2.92629031192753,-0.0016310596444458656,2.8889395732805028,-415696
750000,2.92738542484565,0.007230857978915274,2.638880526502969,-421080
760000,2.9302727586546906,0.0011336741705042482,2.6685052540722936,-427271
770000,2.9308162834831535,-0.0006159097313699521,2.7918248138284496,-433044
780000,2.931425850990841,0.0008294506313495651,2.8297986503838293,-439123
790000,2.927517495930073,-0.001363683560197247,2.667955376393635,-445788
800000,2.9268662808755885,-0.003541393650967218,2.588241328400579,-451443
810000,2.9239090908505854,-0.004233307564617642,2.60090718262879,-456998
820000,2.927005478285646,0.02369153392648452,2.795282155454555,-462846
830000,2.92743488284048,-0.0013429374701333806,2.670753890782519,-468382
840000,2.9251532446430226,0.0003228131237133531,2.6020187556260126,-473860
850000,2.9275918731954893,0.0015970293819572167,2.431770132409839,-479442
860000,2.9275472282274158,0.0007990341532293564,2.58364623823342,-485368
870000,2.9276783958086536,0.003042323244150715,2.425948650974646,-490985
880000,2.927046013753072,0.0014398306627606346,2.5399356019916315,-496892
890000,2.9349829001347714,0.00096094265542548,2.390463820886573,-502615
900000,2.936453334223899,0.0025641923157846444,2.5305447932125302,-508294
910000,2.9336762606210014,-0.001574503892205536,2.3354071221957606,-514273
920000,2.9331065901781077,-0.0003873317534946024,2.3135280893810486,-519898
930000,2.933770334201302,-0.003893372828980849,2.3252929633931827,-525707
940000,2.9371869810810836,0.012603161892881838,2.3049698352473738,-531476
950000,2.932273241576545,0.01881291569494936,2.2092114399166145,-536892
960000,2.935376110899941,0.046697049946180354,2.377398755610274,-542658
970000,2.934372940348991,0.0012090943261858012,2.3642293432025054,-548043
980000,2.9369277299980023,-3.915959278721594e-05,2.144845740509174,-553843
990000,2.9371726261357956,-0.0008979757455744275,2.3037583618099693,-559491
1000000,2.9377538183831056,-0.00020184465254241088,2.3229139711607805,-565334
1010000,2.941688095163037,-0.00299481471139625,2.3934635219586733,-571565
1020000,2.9413218026278964,0.0007742311103101851,2.314115825068867,-577474
1030000,2.940605855113825,-0.00403090175482558,2.1502552008585076,-582511
1040000,2.9405954443676863,0.0009846084101554466,2.194762063254275,-587760
1050000,2.9394438793528392,0.0005485478873326047,2.1421833219965576,-593016
1060000,2.940699557080281,0.019305296050210682,2.155670783980409,-598807
1070000,2.94397532335396,-0.0017044620080884038,2.0804142621411543,-603813
1080000,2.9470329581997223,0.0001914668699865922,2.2164676896182005,-609504
1090000,2.9470606205851535,0.026664261175045095,2.128857146563451,-615783
1100000,2.9468199200224454,0.0024617290584846093,2.087489411661586,-621782
1110000,2.945205364421387,0.002296054948469474,2.332269088977677,-627648
1120000,2.9455101881426575,0.036190992232042904,2.1599884021773126,-632503
1130000,2.9466032390960386,0.0013573885036527542,2.18618564798531,-638046
1140000,2.947243088443059,0.0006384929275294809,2.2881075982229517,-643680
1150000,2.947647155985669,0.0027705241430190687,2.1396686036441013,-649384
1160000,2.9480847795113143,0.00032289024775641515,2.1048035697269807,-654575
1170000,2.948650402557436,0.0021918205453159444,2.069540108123096,-660701
1180000,2.9495209308976835,0.0005266506445781787,2.2951691417408573,-666468
1190000,2.9505657304590027,0.015691240220721096,1.8011352001580934,-671287
1200000,2.949774763706449,0.0016110044154582326,2.1531595628664206,-677222
1210000,2.950041943118108,-0.08780797690634234,1.888207925886315,-682073
1220000,2.94888385059158,-0.00029193394226336865,2.1356653967604347,-687691
1230000,2.9486828477159643,0.0026409984585414044,1.957135133743552,-692900
1240000,2.9495537899438973,-0.007259211220885626,1.9447225059206588,-698446
1250000,2.948692943747689,0.030383875118410866,1.9473467809980443,-704230
1260000,2.946123090670282,0.017000861698270787,1.792385355188288,-709678
1270000,2.9452355115523323,0.0005278431339875663,1.773343347333411,-714465
1280000,2.9464889960124734,0.0003902282335111765,1.8967782685344243,-719971
1290000,2.9479376525963654,0.02031513908395048,1.9883609881332869,-725449
1300000,2.9456537639080507,-0.0013107955565920843,1.8900363947325156,-730853
1310000,2.947135465149556,0.01735421960835957,2.0551213732455915,-736715
1320000,2.949282271985993,0.051552724990541546,1.7729759004184238,-741725
1330000,2.9480127988100686,0.001258085428859309,1.9352772100751625,-747036
1340000,2.9500119450480695,0.00045367537626901465,1.9342299565432373,-752377
1350000,2.949257998707692,0.011431857871387662,1.9074438456987322,-757856
1360000,2.9478043843302557,-0.0016120290235676384,1.9382867813229039,-763802
1370000,2.9454288271348994,-4.1935406602490315e-05,1.9547411647749122,-769651
1380000,2.945673190737795,-0.00782331621079297,1.7787554053673393,-775580
1390000,2.943785954495858,0.0015172391827524907,1.8203836732634449,-780773
1400000,2.9455387097267476,0.0034654056452358647,1.9452905412579442,-786888
1410000,2.947925096222202,0.002454825532840842,1.7774739835570232,-792904
1420000,2.947344136700328,0.0010424773503477215,1.868626948329409,-798426
1430000,2.9460314809844697,3.990392650072298e-05,1.9037732928246183,-804739
1440000,2.9457512902331384,-0.00156019519074006,1.763364298494546,-810013
1450000,2.94596876259937,1.4222176803755842e-05,1.9026912112335388,-815615
1460000,2.946974075426694,0.016041281872709603,1.9340532994326909,-821591
1470000,2.944963842435704,0.0022240013238191106,1.6687821699608747,-826647
1480000,2.9480110437561966,0.0019516191077063015,1.9229746342152887,-833012
1490000,2.9484543088768502,0.0002755775783870803,1.8361195015669087,-838810
1500000,2.9452568814246045,-0.0032802342219292405,1.8299652793691175,-844635
1510000,2.944003707960346,-0.003500008086945415,1.6962539334384108,-849982
1520000,2.9446963660571814,0.0025249111789059846,1.6990116307966496,-855359
1530000,2.9452163411279733,0.0022875720560305408,1.6875411590744396,-860936
1540000,2.945895479154949,0.00042440777150914776,1.7280037899791887,-866037
1550000,2.945528504807583,0.0037773209644875894,1.5734364995723362,-871177
1560000,2.9460547015783494,0.00019595883537262972,1.7443566507281467,-877219
1570000,2.9446200409244265,0.024041705242137144,1.719836128482954,-882840
1580000,2.9445484085505793,0.012306782447411294,1.7406882852802361,-888692
1590000,2.9453565050372488,0.00017048139592355926,1.7371159030555554,-894447
1600000,2.9449548993968104,-0.0003206323357680391,1.814890197869281,-900245
1610000,2.943062357538337,-0.06330450764088628,1.8598134564745021,-906733
1620000,2.9413154617340678,-0.0621321349615854,1.59953096660835,-912097
1630000,2.940775755842932,0.0005768600018326281,1.7209932689759042,-917403
1640000,2.937745484350344,0.0020207715742510414,1.6101179953613642,-923452
1650000,2.9375458860079284,0.01831696972822861,1.659209368268656,-928559
1660000,2.9376263672497367,0.019659847201979764,1.5426077866475136,-934145
1670000,2.938291197236452,-0.00026491244170484063,1.831673679501939,-940235
1680000,2.9371636926165743,-1.0061943621105383e-05,1.5764145408395742,-945993
1690000,2.9376787085510654,0.0004471840553446396,1.718436220360485,-951730
1700000,2.938947212338169,0.004587011564565134,1.7204279514252356,-957900
1710000,2.936914649998577,0.00030705772431236964,1.5582112404606017,-963821
1720000,2.9368900976481362,-0.002357033321602533,1.6293729423065513,-970036
1730000,2.936452973787941,0.0027935624016202916,1.3966383622122531,-975071
1740000,2.936983116214529,0.01800697872632834,1.5223705218519086,-980211
1750000,2.9378886089888367,-0.0006801957268054098,1.4924289530896289,-985977
1760000,2.9382956306868673,-0.042289886312073595,1.6371860438253927,-991301
1770000,2.936440155353676,0.0036440916929844558,1.4675943343218536,-997249
1780000,2.936440155353676,0.00022992453080011534,1.5280589811363405,-1002809
1790000,2.9352723619752883,-0.0011967183687433595,1.530045991791034,-1008230
1800000,2.935993206082102,0.018106778871436843,1.4900445155970048,-1014258
1810000,2.937728311728839,0.0001280118979466561,1.6531803022966938,-1020009
1820000,2.9378490644920925,9.34896839406007e-05,1.4522877001504555,-1025212
1830000,2.9406158377221128,0.001261350327361718,1.6359455760933228,-1031098
1840000,2.94117204551382,0.0029154475564513544,1.51073070471469,-1036815
1850000,2.9417988588288497,0.004331907374727739,1.4352569591414792,-1042389
1860000,2.9428702526546053,0.003854783203537396,1.6122914001399729,-1048098
1870000,2.9426864478033403,0.014920165612277363,1.628211119555689,-1054838
1880000,2.9430241866706988,0.0007943951585148015,1.6331945778294596,-1061037
1890000,2.941220900297632,-0.006677358502302885,1.4058871406358255,-1066623
1900000,2.9391306993240987,-0.002190910082917636,1.5398563291488094,-1072260
1910000,2.9394087377667453,0.0007528214254082179,1.4667648883465019,-1077243
1920000,2.937833896065655,0.014147709387905261,1.5128192476556759,-1082455
1930000,2.9387023986867717,-0.0020841918717545284,1.5266281107992334,-1088212
1940000,2.9395334063450904,0.016772404081816697,1.5219642345243158,-1094040
1950000,2.9392663804089403,0.01108406786969159,1.4435856491046795,-1099808
1960000,2.9401552445769368,0.0009942472711001826,1.4493265558152708,-1105116
1970000,2.9400654382270903,0.01598113758814926,1.362544671782961,-1110907
1980000,2.9411705139505853,0.0003901130719439133,1.389064673248299,-1116787
1990000,2.940942343450921,0.0001536283252834597,1.6369127339387344,-1123213
2000000,2.940364977128896,-0.0006408381938743965,1.4859670163386003,-1129548
2010000,2.9419180029703313,0.014313235959300839,1.4078022565365613,-1134848
2020000,2.941791550363046,-0.0015371520293957508,1.5698770925202412,-1140351
2030000,2.9410880498263965,-0.00011214195410191277,1.482500783564996,-1146310
2040000,2.9423120335604795,0.017439339367950273,1.3995349941194701,-1151856
2050000,2.941790716047072,0.016586202814298238,1.4026196250530591,-1158213
2060000,2.94157962529853,-0.003878429987917986,1.4224955882662025,-1164046
2070000,2.9420120504351,0.014844321505309137,1.3585102516330585,-1169262
2080000,2.9396842568509167,0.0015521785598822085,1.42630265226232,-1175155
2090000,2.9397452635630525,-0.057186814836378747,1.4892601027355523,-1180785
2100000,2.9388975606420744,0.013173373134662674,1.4119833726007085,-1186410
2110000,2.935714622834945,-0.001637371443970475,1.4789315012348383,-1192365
2120000,2.9327986920865357,1.3928627485333316e-05,1.3670930455496324,-1197763
2130000,2.9331404837794763,0.0004537640529697458,1.3320756224519708,-1203543
2140000,2.9333735252605515,-0.0027524697434399845,1.414559432704747,-1208921
2150000,2.9326825187099126,0.00024155360881912493,1.4702905280343517,-1214791
2160000,2.929351053982504,0.0007782686746370534,1.2657605415193416,-1220241
2170000,2.928529486987415,0.016569708217024838,1.5107827850003501,-1226100
2180000,2.9289521938676084,-0.002123548943876477,1.2660857027263754,-1231188
2190000,2.9287759794233965,0.001877926674887121,1.3374087284395197,-1237135
2200000,2.9285472486542288,0.0024776111462279943,1.4214612852933686,-1242773
2210000,2.927996787367448,-0.025151944425617544,1.3673002549147486,-1248125
2220000,2.927093889909925,-0.002037735067228585,1.3535570376442572,-1253167
2230000,2.925820181091632,0.0013978546638604285,1.3616688869597726,-1258820
2240000,2.926267678002432,0.0038299213808474122,1.388037886674573,-1264041
2250000,2.925400499769739,0.0007263416394802908,1.347019225945228,-1269670
2260000,2.926399047373397,0.014553494098867437,1.3966425535503753,-1275104
2270000,2.927247312218179,0.013156488742580094,1.3427034724314957,-1280580
2280000,2.9274515423641274,9.042440616660102e-05,1.4770626501003041,-1286463
2290000,2.928522642942843,0.0045545993622987425,1.3681496087708043,-1292888
2300000,2.928401118211337,0.0006766031049915091,1.423535783686204,-1298207
2310000,2.9292784608103406,-0.0001041214767054559,1.3937503656768968,-1303786
2320000,2.9292728479707035,0.0003077325735726095,1.2722511752284928,-1309166
2330000,2.9287817480794582,-0.0005080218026705393,1.2057822839275063,-1314522
2340000,2.925984126904357,0.013175417636192746,1.2325262491937523,-1319469
2350000,2.925260763610424,-0.000327553455373886,1.2755590522363496,-1324612
2360000,2.924354264729843,0.011458509721583146,1.2323118242701618,-1330280
